Key,English,Chinese
Game_RealStory0,"Parents: Honey, do you want to go surfing with Mom and Dad? I heard there's a new snorkeling place right on the beach, and they're offering a two-hour free trial.


Child: No, I have a game plan with a friend, and I'd be embarrassed to miss it.","父母：宝贝，你想和爸爸妈妈一起去冲浪吗？我听说海滩上新开了一家浮潜馆，现在提供两小时免费体验。

孩子：不去，我已经和朋友约了一起打游戏，失约会很尴尬。"
Game_BirdStory0,"Small Bird 1: Ever since the old Bird King died, I can't sleep peacefully. I feel uneasy about this migration.

Small Bird 2: I don't really trust the new Bird King either. He's too young and hasn't experienced much

Small Bird 3: I don't know why the old Bird King passed the throne to him...","小鸟1：自从老鸟王去世后，我都睡不好觉了。说实话，我对这次迁徙很不安。

小鸟2：其实我也不太信任新鸟王。他太年轻了，根本就没迁徙过几次。

小鸟3：是啊…不懂老鸟王为什么要把王位传给他……"
Game_RealStory1,"Parents: We're back! I saw a giant turtle while snorkeling today! It was so exciting!!!

Parents: Hello, honey, are you home? Have you eaten yet, honey?

Parents: Why are you still playing games? You should take a break.","爸爸：我们回来啦！我今天浮潜的时候看到了一只巨大的海龟！超级壮观！！！

妈妈：宝贝，你回来了吗？吃过饭了吗？

爸爸：你怎么还在玩游戏？你应该休息一下。"
Game_BirdStory1,"Small Bird 4: Actually... I have great confidence in the new Bird King. He's a champion from the bird fighting arena! Not only has he escaped hunters, but he's also able to communicate with the sky gods and discern even things in the human world!

Small Bird 5: Yes, yes! I saw him dodge lightning, rush to the evolution factory, and rescue the unconscious chicks.","小鸟4：我对新任鸟王很有信心！他可是斗鸟场的冠军！要知道，鸟王他不仅躲过了猎人的追捕，还能与天神沟通，甚至能洞悉人类世界的事情！

小鸟5：没错，没错！我亲眼看到他在暴雨天躲过了闪电，还冲进化工厂救出了昏迷的小鸟！"
Game_BirdStory2,"Old Bird 1: Traveling with a family is such a hassle. I miss my youth. Back then, it was just me and his dad, and we could go wherever we wanted.

Old Bird 2: Hahahahaha, it's really inconvenient to bring the kids along. Come with us! We'll have someone to look after us along the way.","老鸟1：一大家子迁徙真是太麻烦了。真是怀念我的青春。那时候只有我和孩子他爸，想飞去哪儿就飞去哪儿。

老鸟2：哈哈哈哈，带孩子旅行确实很不方便。不如跟我们一起走吧！一路互相有个照应。"
Game_RealStory2,"Parents: Honey, We are going hiking this weekend. Do you want to come with me?

Child: No. I haven't even finished this game yet.

Parents: Okay, if you're tired, go for a walk. You can't stay home all summer. Your brain won't be as active!","父母：宝贝，我们这周末要去远足。你想跟我们一起去吗？

孩子：不想。我还没玩完这个游戏呢。

父母：好吧，如果你累了，就出去走走。你不能整个夏天都待在家里，那样对身体不好。"
Game_BirdStory3,"Small Bird 6: The scenery here is truly beautiful.

Old Bird 3: I remember ten years ago, this place was all factories. Now, you can even rest here.

Old Bird 4: Yeah, it's wonderful.","小鸟6：这里的景色真美，简直是仙境！

老鸟3：我记得十年前这里全是煤窑工厂，现在居然改成保护区了。

老鸟4：是啊，真好。我们可以在这里休息一会。"
Game_RealStory3,"Parents: Honey, this is your email. It seems to be from the same game company you play.

Parents: Why did he call you the bird savior?

Child: Because I am! I lead the flight of thousands of migratory birds!","父母：宝贝，这是你的邮件。好像是哪个游戏公司发来的。

父母：不过他为什么叫你“鸟类救星”？

孩子：因为我就是！我正在带领着成千上万只候鸟迁徙！"
Game_BirdStory4,"Bird Follower 1: It feels like I've flown a long way. I'm definitely feeling a bit calmer. 

Bird Follower 2: Look! Everyone here is still wearing short sleeves!

Bird Follower 3: Hey! Don't get too close.

Bird Follower 4: I just want to see the latest fashion trends...","鸟儿1：感觉飞了好远啊。现在气候缓和多了。

鸟儿2：看！这里的人都还穿着短袖呢！

鸟儿3：嘿！别靠人类太近。

鸟儿4：好吧~我只是想看看人类最新的时尚潮流……"
Game_RealStory4,"Parents: Honey, I got a receipt. It's from your game company.

Child: Oh, I bought it with my scholarship. My friends all bought it. 

Parents: Here you go, but remember not to spend too much money on games. You're graduating soon.

Child: I know, I remember, I know.","父母：宝贝，桌上的信用卡账单是你的？你买了福利彩票？

孩子：大部分都是我玩游戏兑换的。我的朋友们也都买了。

父母：这听起来像是赌博。记住你马上就要毕业了，别耽误学业。

孩子：不是赌博。我自己知道怎么回事，别管我。"
